"psi_z";"psi";"n_gauche";"n_droite";"logLik";"AIC";"modele";"reponse";"source";"vent";"version";"variable"
-1,06378223649064;48,7500000000001;1330;7125;-2459,40216381347;4982,80432762695;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,03978771744332;49,1785714285716;1359;7096;-2459,40322305904;4982,80644611807;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,0087947970072;49,732142857143;1432;7023;-2459,42413048117;4982,84826096235;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-0,977801876571084;50,2857142857144;1510;6945;-2459,46120781055;4982,9224156211;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-0,946808956134965;50,8392857142859;1601;6854;-2459,49302837865;4982,98605675731;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-0,915816035698846;51,3928571428573;1681;6774;-2459,54353129736;4983,08706259471;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-0,884823115262727;51,9464285714287;1730;6725;-2459,63439403579;4983,26878807158;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-0,853830194826608;52,5000000000002;1842;6613;-2459,7267611063;4983,4535222126;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-0,67187175871778;55,7500000000002;2302;6153;-2460,00160509976;4984,00321019953;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-0,503910125386554;58,7500000000002;2795;5660;-2460,12401333901;4984,24802667802;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-0,321951689277726;62,0000000000002;3299;5156;-2460,56550481533;4985,13100963065;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-0,1539900559465;65,0000000000003;3779;4676;-2460,65620039755;4985,31240079509;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-2,52253928761125e-05;67,7500000000003;4234;4221;-2460,78595257017;4985,57190514034;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
0,181933210715952;71,0000000000003;4736;3719;-2460,86185467164;4985,72370934328;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
0,36389164682478;74,2500000000003;5200;3255;-2460,76912685191;4985,53825370382;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
0,531853280156006;77,2500000000003;5703;2752;-2460,88462108192;4985,76924216384;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
0,699814913487232;80,2500000000004;6165;2290;-2460,94065854953;4985,88131709906;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
0,895770152373662;83,7500000000004;6651;1804;-2461,0753837416;4986,1507674832;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
1,1197189968153;87,7500000000004;7145;1310;-2461,22832372126;4986,45664744253;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
1,37166144681214;92,2500000000004;7621;834;-2461,12479215387;4986,24958430774;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"humidite"
-1,07336845392311;1017,16666666666;850;7605;-2459,82949605335;4983,65899210669;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
-0,826190211075897;1018,56666666666;1331;7124;-2459,85664107052;4983,71328214104;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
-0,579011968228702;1019,96666666666;1814;6641;-2459,77755093651;4983,55510187301;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
-0,425996865513768;1020,83333333333;2316;6139;-2459,62804222838;4983,25608445676;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
-0,278866959057115;1021,66666666666;2780;5675;-2459,46763390431;4982,93526780862;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
-0,149392641375247;1022,4;3275;5180;-2459,2922134134;4982,58442682681;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
-0,0258035199516391;1023,1;3768;4687;-2459,07285907126;4982,14571814253;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,0860152089554458;1023,73333333333;4231;4224;-2458,96405154233;4981,92810308466;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,197833937862471;1024,36666666666;4723;3732;-2458,78137992046;4981,56275984093;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,333193451802641;1025,13333333333;5196;3259;-2458,32863576613;4980,65727153226;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,468552965742771;1025,9;5687;2768;-2457,91566159463;4979,83132318925;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,586256890908077;1026,56666666666;6178;2277;-2457,70686178459;4979,41372356917;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,608956933618533;1026,69523809524;6247;2208;-2457,63178047589;4979,26356095177;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,63165697632899;1026,82380952381;6321;2134;-2457,52158944197;4979,04317888395;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,654357019039446;1026,95238095238;6409;2046;-2457,39491411667;4978,78982823335;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
0,677057061749903;1027,08095238095;6486;1969;-2457,24971554986;4978,49943109972;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"pression"
