"modele";"seuil_haut";"logLik";"AIC_2BP"
"intensite_MR_moyen_complet";29,2687074829932;-17024,1841650714;34112,3683301429
"intensite_MR_moyen_complet";29,3714285714286;-17024,1686568806;34112,3373137611
"intensite_MR_moyen_complet";29,4741496598639;-17024,1665674986;34112,3331349972
"intensite_MR_moyen_complet";29,5768707482993;-17024,1682458969;34112,3364917937
"intensite_MR_moyen_complet";29,6795918367347;-17024,1807566887;34112,3615133775
"intensite_MR_moyen_complet";29,7823129251701;-17024,1732052454;34112,3464104908
"intensite_MR_moyen_complet";29,8850340136054;-17024,1801138535;34112,3602277071
"intensite_MR_moyen_complet";29,9877551020408;-17024,2006478572;34112,4012957143
"intensite_MR_moyen_complet";30,0904761904762;-17024,2336089832;34112,4672179664
"intensite_MR_moyen_complet";30,8095238095238;-17024,443783252;34112,8875665041
"intensite_MR_moyen_complet";31,5285714285714;-17024,9805689394;34113,9611378787
"intensite_MR_moyen_complet";32,2476190476191;-17025,3470811536;34114,6941623071
"intensite_MR_rafale_max_complet";22,9;-17022,6884350852;34109,3768701705
"intensite_MR_rafale_max_complet";23,6190476190476;-17022,5733676562;34109,1467353125
"intensite_MR_rafale_max_complet";24,3380952380952;-17022,5921179569;34109,1842359138
"intensite_MR_rafale_max_complet";25,0571428571429;-17022,5709898996;34109,1419797992
"intensite_MR_rafale_max_complet";25,7761904761905;-17022,2915370022;34108,5830740044
"intensite_MR_rafale_max_complet";26,4952380952381;-17022,0903397858;34108,1806795715
"intensite_MR_rafale_max_complet";27,2142857142857;-17021,8930849092;34107,7861698184
"intensite_MR_rafale_max_complet";27,9333333333333;-17021,51722669;34107,0344533799
"intensite_MR_rafale_max_complet";28,652380952381;-17021,4419428825;34106,883885765
"intensite_MR_rafale_max_complet";28,7551020408163;-17021,3845149773;34106,7690299546
"intensite_MR_rafale_max_complet";28,8578231292517;-17021,3341864797;34106,6683729594
"intensite_MR_rafale_max_complet";28,9605442176871;-17021,2675135566;34106,5350271133
"intensite_MR_rafale_max_complet";29,0632653061225;-17021,2008700749;34106,4017401498
"intensite_MR_rafale_max_complet";29,1659863945578;-17021,1534489176;34106,3068978352
"intensite_MR_rafale_max_complet";29,2687074829932;-17021,1130700919;34106,2261401839
"intensite_MR_rafale_max_complet";29,3714285714286;-17021,0956992504;34106,1913985007
"intensite_MR_rafale_max_complet";29,4741496598639;-17021,090973675;34106,18194735
"intensite_MR_rafale_max_complet";29,5768707482993;-17021,0902753265;34106,180550653
"intensite_MR_rafale_max_complet";29,6795918367347;-17021,101063171;34106,202126342
"intensite_MR_rafale_max_complet";29,7823129251701;-17021,0929597285;34106,1859194571
"intensite_MR_rafale_max_complet";29,8850340136054;-17021,0987504547;34106,1975009094
"intensite_MR_rafale_max_complet";29,9877551020408;-17021,1157571447;34106,2315142893
"intensite_MR_rafale_max_complet";30,0904761904762;-17021,144915986;34106,289831972
"intensite_MR_rafale_max_complet";30,8095238095238;-17021,33401339;34106,66802678
"intensite_MR_rafale_max_complet";31,5285714285714;-17021,8722782469;34107,7445564939
"intensite_MR_rafale_max_complet";32,2476190476191;-17022,2247594004;34108,4495188008
"intensite_IC_moyen_sans_2202_2024";23,4;-21515,4999046578;43098,9998093155
"intensite_IC_moyen_sans_2202_2024";23,4579659863946;-21515,4940274887;43098,9880549773
"intensite_IC_moyen_sans_2202_2024";23,5159319727891;-21515,489959713;43098,9799194259
"intensite_IC_moyen_sans_2202_2024";23,5738979591837;-21515,493214088;43098,986428176
"intensite_IC_moyen_sans_2202_2024";23,6318639455782;-21515,5022764223;43099,0045528446
"intensite_IC_moyen_sans_2202_2024";23,6898299319728;-21515,5116538476;43099,0233076952
"intensite_IC_moyen_sans_2202_2024";23,7477959183673;-21515,5215118755;43099,0430237509
"intensite_IC_moyen_sans_2202_2024";23,8057619047619;-21515,5328555267;43099,0657110534
"intensite_IC_moyen_sans_2202_2024";23,8637278911565;-21515,5414849572;43099,0829699144
"intensite_IC_moyen_sans_2202_2024";23,921693877551;-21515,5559924533;43099,1119849066
"intensite_IC_moyen_sans_2202_2024";23,9796598639456;-21515,5680376197;43099,1360752394
"intensite_IC_moyen_sans_2202_2024";24,0376258503401;-21515,5771949279;43099,1543898557
"intensite_IC_moyen_sans_2202_2024";24,0955918367347;-21515,582136846;43099,1642736921
"intensite_IC_moyen_sans_2202_2024";24,1535578231293;-21515,5935202366;43099,1870404732
"intensite_IC_moyen_sans_2202_2024";24,2115238095238;-21515,6076905991;43099,2153811983
"intensite_IC_moyen_sans_2202_2024";25,0230476190476;-21515,6956702452;43099,3913404904
"intensite_IC_moyen_sans_2202_2024";25,8345714285714;-21515,573339687;43099,1466793741
"intensite_IC_moyen_sans_2202_2024";26,6460952380952;-21515,5979776769;43099,1959553538
"intensite_IC_moyen_sans_2202_2024";27,457619047619;-21515,5988687924;43099,1977375848
"intensite_IC_moyen_sans_2202_2024";28,2691428571429;-21515,6132876686;43099,2265753373
"intensite_IC_moyen_sans_2202_2024";29,0806666666667;-21515,5895392649;43099,1790785299
"intensite_IC_moyen_sans_2202_2024";29,8921904761905;-21515,5699498707;43099,1398997413
"intensite_IC_moyen_sans_2202_2024";30,7037142857143;-21515,5550668448;43099,1101336896
"intensite_IC_moyen_sans_2202_2024";31,5152380952381;-21515,6009659654;43099,2019319309
"intensite_IC_moyen_sans_2202_2024";32,3267619047619;-21515,5994060967;43099,1988121934
"intensite_IC_moyen_sans_2202_2024";33,1382857142857;-21515,7651199924;43099,5302399848
"intensite_IC_moyen_sans_2202_2024";33,9498095238095;-21515,8147002549;43099,6294005098
"intensite_IC_moyen_sans_2202_2024";34,7613333333333;-21515,7619096505;43099,5238193011
"intensite_IC_rafale_max_sans_2202_2024";23,4;-21521,2382036735;43110,476407347
"intensite_IC_rafale_max_sans_2202_2024";23,457962585034;-21521,2332318148;43110,4664636297
"intensite_IC_rafale_max_sans_2202_2024";23,515925170068;-21521,2300059855;43110,460011971
"intensite_IC_rafale_max_sans_2202_2024";23,573887755102;-21521,233429101;43110,466858202
"intensite_IC_rafale_max_sans_2202_2024";23,631850340136;-21521,2421634437;43110,4843268875
"intensite_IC_rafale_max_sans_2202_2024";23,6898129251701;-21521,2510993992;43110,5021987984
"intensite_IC_rafale_max_sans_2202_2024";23,7477755102041;-21521,2603743453;43110,5207486906
"intensite_IC_rafale_max_sans_2202_2024";23,8057380952381;-21521,2709819279;43110,5419638557
"intensite_IC_rafale_max_sans_2202_2024";23,8637006802721;-21521,2791001532;43110,5582003063
"intensite_IC_rafale_max_sans_2202_2024";23,9216632653061;-21521,2923575238;43110,5847150477
"intensite_IC_rafale_max_sans_2202_2024";23,9796258503401;-21521,3033413566;43110,6066827132
"intensite_IC_rafale_max_sans_2202_2024";24,0375884353741;-21521,3116720655;43110,6233441309
"intensite_IC_rafale_max_sans_2202_2024";24,0955510204082;-21521,3161752367;43110,6323504733
"intensite_IC_rafale_max_sans_2202_2024";24,1535136054422;-21521,3263532467;43110,6527064934
"intensite_IC_rafale_max_sans_2202_2024";24,2114761904762;-21521,3389616554;43110,6779233107
"intensite_IC_rafale_max_sans_2202_2024";25,0229523809524;-21521,4157378158;43110,8314756315
"intensite_IC_rafale_max_sans_2202_2024";25,8344285714286;-21521,3096465787;43110,6192931575
"intensite_IC_rafale_max_sans_2202_2024";26,6459047619048;-21521,3268947477;43110,6537894955
"intensite_IC_rafale_max_sans_2202_2024";27,4573809523809;-21521,3241867177;43110,6483734355
"intensite_IC_rafale_max_sans_2202_2024";28,2688571428571;-21521,3332050381;43110,6664100763
"intensite_IC_rafale_max_sans_2202_2024";29,0803333333333;-21521,3047819266;43110,6095638533
"intensite_IC_rafale_max_sans_2202_2024";29,8918095238095;-21521,2771648896;43110,5543297792
"intensite_IC_rafale_max_sans_2202_2024";30,7032857142857;-21521,2526508999;43110,5053017998
"intensite_IC_rafale_max_sans_2202_2024";31,5147619047619;-21521,2901583835;43110,580316767
"intensite_IC_rafale_max_sans_2202_2024";32,3262380952381;-21521,2857311014;43110,5714622029
"intensite_IC_rafale_max_sans_2202_2024";33,1377142857143;-21521,4456897261;43110,8913794522
"intensite_IC_rafale_max_sans_2202_2024";33,9491904761905;-21521,4949269423;43110,9898538845
"intensite_IC_rafale_max_sans_2202_2024";34,7606666666667;-21521,4456800544;43110,8913601088
"intensite_MR_moyen_sans_2202_2024";22,9;-16873,7556143798;33811,5112287595
"intensite_MR_moyen_sans_2202_2024";23,6238333333333;-16873,6620158073;33811,3240316146
"intensite_MR_moyen_sans_2202_2024";24,3476666666667;-16873,6660947515;33811,332189503
"intensite_MR_moyen_sans_2202_2024";25,0715;-16873,6363764848;33811,2727529697
"intensite_MR_moyen_sans_2202_2024";25,7953333333333;-16873,3656705691;33810,7313411382
"intensite_MR_moyen_sans_2202_2024";26,5191666666667;-16873,1707003799;33810,3414007598
"intensite_MR_moyen_sans_2202_2024";27,243;-16872,9753053036;33809,9506106072
"intensite_MR_moyen_sans_2202_2024";27,9668333333333;-16872,5978083956;33809,1956167912
"intensite_MR_moyen_sans_2202_2024";28,6906666666667;-16872,5112024812;33809,0224049624
"intensite_MR_moyen_sans_2202_2024";28,7940714285714;-16872,4591331745;33808,9182663489
"intensite_MR_moyen_sans_2202_2024";28,8974761904762;-16872,4100071513;33808,8200143027
"intensite_MR_moyen_sans_2202_2024";29,000880952381;-16872,33881848;33808,6776369599
"intensite_MR_moyen_sans_2202_2024";29,1042857142857;-16872,2829642481;33808,5659284961
"intensite_MR_moyen_sans_2202_2024";29,2076904761905;-16872,2311167096;33808,4622334191
"intensite_MR_moyen_sans_2202_2024";29,3110952380952;-16872,1954190627;33808,3908381254
"intensite_MR_moyen_sans_2202_2024";29,4145;-16872,174230406;33808,3484608121
"intensite_MR_moyen_sans_2202_2024";29,5179047619048;-16872,1615683881;33808,3231367763
"intensite_MR_moyen_sans_2202_2024";29,6213095238095;-16872,1570277842;33808,3140555683
"intensite_MR_moyen_sans_2202_2024";29,7247142857143;-16872,1499475845;33808,2998951691
"intensite_MR_moyen_sans_2202_2024";29,8281190476191;-16872,1331131477;33808,2662262954
"intensite_MR_moyen_sans_2202_2024";29,9315238095238;-16872,1372471304;33808,2744942609
"intensite_MR_moyen_sans_2202_2024";30,0349285714286;-16872,1476168114;33808,2952336227
"intensite_MR_moyen_sans_2202_2024";30,1383333333333;-16872,1755073578;33808,3510147155
"intensite_MR_moyen_sans_2202_2024";30,8621666666667;-16872,3779479976;33808,7558959951
"intensite_MR_moyen_sans_2202_2024";31,586;-16872,9136913748;33809,8273827495
"intensite_MR_moyen_sans_2202_2024";32,3098333333333;-16873,2684691228;33810,5369382455
"intensite_MR_rafale_max_sans_2202_2024";22,9;-16870,388143678;33804,7762873559
"intensite_MR_rafale_max_sans_2202_2024";23,6238333333333;-16870,2706914949;33804,5413829898
"intensite_MR_rafale_max_sans_2202_2024";24,3476666666667;-16870,291756915;33804,5835138301
"intensite_MR_rafale_max_sans_2202_2024";25,0715;-16870,2706063167;33804,5412126334
"intensite_MR_rafale_max_sans_2202_2024";25,7953333333333;-16870,0017661403;33804,0035322807
"intensite_MR_rafale_max_sans_2202_2024";26,5191666666667;-16869,8210514818;33803,6421029636
"intensite_MR_rafale_max_sans_2202_2024";27,243;-16869,6455292432;33803,2910584864
"intensite_MR_rafale_max_sans_2202_2024";27,9668333333333;-16869,2991242737;33802,5982485474
"intensite_MR_rafale_max_sans_2202_2024";28,6906666666667;-16869,2147977577;33802,4295955153
"intensite_MR_rafale_max_sans_2202_2024";29,4145;-16868,8667710273;33801,7335420547
