ruche;annee;heure;n_videos;presence;intensite;n_positives;ic_intensite;presence_pct;ic_presence;presence_inf;presence_sup
2202;2022;9;91;0.8681318681318682;61.24050632911393;79;10.24519896702245;86.81318681318682;6.951814124216818;79.86137268897;93.76500093740364
2202;2022;10;101;0.7920792079207921;47.4375;80;8.36810175664073;79.20792079207921;7.914594183297365;71.29332660878184;87.12251497537657
2202;2022;11;107;0.7850467289719626;42.916666666666664;84;7.770550410453063;78.50467289719626;7.78366194853364;70.72101094866262;86.28833484572989
2202;2022;12;109;0.8073394495412844;41.96590909090909;88;8.188517886100565;80.73394495412845;7.404015306130029;73.32992964799841;88.13796026025848
2202;2022;13;109;0.8440366972477065;38.77173913043478;92;7.339409072560952;84.40366972477065;6.811373553955208;77.59229617081544;91.21504327872586
2202;2022;14;111;0.8018018018018018;36.7752808988764;89;6.466673723619871;80.18018018018019;7.416140464402235;72.76403971577795;87.59632064458242
2202;2022;15;110;0.7909090909090909;35.71264367816092;87;6.35018868415408;79.0909090909091;7.5995974427769175;71.49131164813218;86.690506533686
2202;2022;16;109;0.7981651376146789;30.942528735632184;87;5.793027749067325;79.81651376146789;7.535069999079602;72.28144376238829;87.35158376054748
2202;2022;17;108;0.7962962962962963;32.604651162790695;86;5.117865066452828;79.62962962962963;7.595930879753339;72.0336987498763;87.22556050938297
2202;2022;18;105;0.8;27.69047619047619;84;4.939030629679301;80.0;7.6510565719165;72.3489434280835;87.6510565719165
2202;2022;19;107;0.7850467289719626;31.452380952380953;84;5.951662811985989;78.50467289719626;7.78366194853364;70.72101094866262;86.28833484572989
2202;2022;20;95;0.8526315789473684;38.67901234567901;81;7.077093182043825;85.26315789473684;7.128155918187629;78.1350019765492;92.39131381292447
2202;2023;9;126;0.46825396825396826;6.966101694915254;59;2.955696179296532;46.82539682539682;8.712918683714777;38.11247814168205;55.5383155091116
2202;2023;10;125;0.48;10.166666666666666;60;4.813453384420843;48.0;8.75837135545188;39.24162864454812;56.75837135545188
2202;2023;11;124;0.4596774193548387;7.982456140350878;57;3.3575654204315493;45.96774193548387;8.771994946277502;37.19574698920637;54.739736881761374
2202;2023;12;125;0.432;9.87037037037037;54;4.303277045187692;43.2;8.68394583861507;34.51605416138493;51.88394583861508
2202;2023;13;124;0.49193548387096775;8.770491803278688;61;3.21910698077129;49.193548387096776;8.79951499803242;40.394033389064354;57.9930633851292
2202;2023;14;125;0.48;8.833333333333334;60;3.0293223372522635;48.0;8.75837135545188;39.24162864454812;56.75837135545188
2202;2023;15;125;0.496;8.225806451612904;62;2.981058606327059;49.6;8.765105974944056;40.834894025055945;58.36510597494406
2202;2023;16;123;0.5040650406504065;7.258064516129032;62;2.2445562743596263;50.40650406504065;8.836070380992686;41.57043368404796;59.24257444603334
2202;2023;17;124;0.4596774193548387;9.263157894736842;57;4.00490009189689;45.96774193548387;8.771994946277502;37.19574698920637;54.739736881761374
2202;2023;18;125;0.432;12.88888888888889;54;6.078817482807399;43.2;8.68394583861507;34.51605416138493;51.88394583861508
2202;2023;19;125;0.392;8.081632653061224;49;2.7480902459708267;39.2;8.558465178289856;30.641534821710145;47.75846517828986
2202;2023;20;124;0.4274193548387097;6.754716981132075;53;2.4764723941121294;42.74193548387097;8.707443252202832;34.03449223166814;51.4493787360738
2202;2024;9;144;0.11805555555555555;1.7058823529411764;17;0.32610100967661954;11.805555555555555;5.270340255731094;6.535215299824461;17.07589581128665
2202;2024;10;144;0.1736111111111111;2.76;25;0.8489311868461424;17.36111111111111;6.1866538613096065;11.174457249801504;23.547764972420715
2202;2024;11;144;0.18055555555555555;2.3461538461538463;26;0.6334102309799386;18.055555555555554;6.282608692427641;11.772946863127913;24.338164247983194
2202;2024;12;144;0.2569444444444444;2.4054054054054053;37;0.600230510599923;25.694444444444443;7.136825598335456;18.557618846108987;32.8312700427799
2202;2024;13;144;0.2986111111111111;2.372093023255814;43;0.583472382922547;29.86111111111111;7.474932029066434;22.386179082044677;37.336043140177544
2202;2024;14;143;0.2727272727272727;2.3846153846153846;39;0.5122573966306218;27.27272727272727;7.299632369006624;19.973094903720646;34.5723596417339
2202;2024;15;143;0.2867132867132867;2.317073170731707;41;0.5096322874501377;28.671328671328673;7.4121470956520845;21.25918157567659;36.083475766980754
2202;2024;16;143;0.2517482517482518;2.5;36;0.7220526296607472;25.174825174825177;7.113693583665191;18.061131591159985;32.28851875849037
2202;2024;17;142;0.2887323943661972;1.9024390243902438;41;0.40956255591788915;28.87323943661972;7.453773130112109;21.419466306507612;36.32701256673183
2202;2024;18;142;0.19014084507042253;2.0;27;0.5125168331611208;19.014084507042252;6.454377417608495;12.559707089433758;25.468461924650747
2202;2024;19;142;0.15492957746478872;2.3181818181818183;22;0.6368301320445584;15.492957746478872;5.951487396361162;9.54147035011771;21.444445142840035
2202;2024;20;142;0.08450704225352113;2.3333333333333335;12;0.944718439162129;8.450704225352112;4.57494475365349;3.875759471698622;13.025648979005602
2203;2022;9;4;1.0;5.75;4;3.699418873282667;100.0;0.0;100.0;100.0
2203;2022;10;12;0.9166666666666666;14.454545454545455;11;7.058789164071266;91.66666666666666;15.637976093353526;76.02869057331313;100.0
2203;2022;11;17;1.0;8.588235294117647;17;2.906463861796805;100.0;0.0;100.0;100.0
2203;2022;12;20;0.95;9.210526315789474;19;3.0407771438660296;95.0;9.55185845791279;85.44814154208721;100.0
2203;2022;13;21;0.9047619047619048;14.736842105263158;19;5.629855166034039;90.47619047619048;12.555063903844918;77.92112657234557;100.0
2203;2022;14;20;0.8;10.25;16;3.2821466552649143;80.0;17.53077294359835;62.46922705640165;97.53077294359835
2203;2022;15;20;0.75;14.066666666666666;15;5.72382218840212;75.0;18.977618396416343;56.02238160358365;93.97761839641635
2203;2022;16;20;0.95;17.05263157894737;19;7.819159743547012;95.0;9.55185845791279;85.44814154208721;100.0
2203;2022;17;19;0.7368421052631579;15.285714285714286;14;5.628466111582335;73.68421052631578;19.800433106076742;53.88377742023904;93.48464363239252
2203;2022;18;19;1.0;14.736842105263158;19;5.313716462214798;100.0;0.0;100.0;100.0
2203;2022;19;18;1.0;14.11111111111111;18;5.415157832421536;100.0;0.0;100.0;100.0
2203;2022;20;11;0.9090909090909091;11.5;10;7.7592788897479945;90.9090909090909;16.988969772012375;73.92012113707852;100.0
2203;2023;9;119;0.9495798319327731;12.185840707964601;113;1.9710494014140358;94.9579831932773;3.931429355841399;91.0265538374359;98.8894125491187
2203;2023;10;119;0.9831932773109243;11.034188034188034;117;1.4795593475850133;98.31932773109243;2.3096360944232637;96.00969163666916;100.0
2203;2023;11;118;0.9576271186440678;11.495575221238939;113;1.877762976916487;95.76271186440678;3.6346055407346345;92.12810632367214;99.39731740514142
2203;2023;12;117;0.9914529914529915;10.344827586206897;116;1.6163471044467697;99.14529914529915;1.6680392796115373;97.47725986568761;100.0
2203;2023;13;117;0.9829059829059829;10.617391304347827;115;2.0328859875876373;98.29059829059828;2.348773815858425;95.94182447473986;100.0
2203;2023;14;117;0.9658119658119658;10.106194690265486;113;1.968401018268666;96.58119658119658;3.292657030690696;93.28853955050589;99.87385361188727
2203;2023;15;118;0.9661016949152542;10.657894736842104;114;1.9370166778687385;96.61016949152543;3.2652428093191666;93.34492668220626;99.87541230084459
2203;2023;16;117;0.9316239316239316;11.34862385321101;109;2.1379604590549848;93.16239316239316;4.573361392460063;88.5890317699331;97.73575455485322
2203;2023;17;119;0.8991596638655462;9.570093457943925;107;2.2330475191203205;89.91596638655463;5.41026005861945;84.50570632793517;95.32622644517409
2203;2023;18;119;0.9495798319327731;10.787610619469026;113;2.2651057547483777;94.9579831932773;3.931429355841399;91.0265538374359;98.8894125491187
2203;2023;19;119;0.957983193277311;12.078947368421053;114;2.3847511486191464;95.7983193277311;3.604732624328243;92.19358670340284;99.40305195205934
2203;2023;20;119;0.9747899159663865;13.25;116;2.1745100880286876;97.47899159663865;2.8166004947883567;94.66239110185029;100.0
2206;2023;9;187;0.9518716577540107;93.32584269662921;178;10.063447826259992;95.18716577540107;3.0677849844777163;92.11938079092336;98.25495075987878
2206;2023;10;186;0.946236559139785;81.5284090909091;176;8.285807916462485;94.6236559139785;3.24147733241206;91.38217858156644;97.86513324639056
2206;2023;11;185;0.9243243243243243;74.49707602339181;171;6.642424751298588;92.43243243243244;3.8111895744505353;88.6212428579819;96.24362200688297
2206;2023;12;184;0.9293478260869565;77.53801169590643;171;6.926990444355586;92.93478260869566;3.702534109954204;89.23224849874146;96.63731671864986
2206;2023;13;183;0.9398907103825137;75.75581395348837;172;6.556460385667838;93.98907103825137;3.443816502399735;90.54525453585163;97.43288754065111
2206;2023;14;184;0.9130434782608695;71.97619047619048;168;6.695921043150159;91.30434782608695;4.071401844294744;87.23294598179221;95.3757496703817
