terme;Df;AIC;LRT;Pr(>Chi)
<none>;NA;44621.48572272297;NA;NA
groupe;8;45991.82747303915;1386.3417503161763;5.081179342177351e-294
ns(jour_annee, df = 6);6;44736.7410057874;127.2552830644272;4.861574801155858e-25
ns(heure, df = 4);4;44747.29325658856;133.80753386558354;5.969762722994317e-28
