ruche;annee;semaine;n_videos;presence;intensite;n_positives;ic_intensite;date_semaine;presence_pct;ic_presence;presence_inf;presence_sup
2202;2022;15;25;0.32;1.25;8;0.32078029864690877;2022-04-11;32.0;18.28586514223486;13.714134857765139;50.28586514223486
2202;2022;16;11;0.2727272727272727;2.0;3;1.1316065276116665;2022-04-18;27.27272727272727;26.31919879849005;0.9535284742372205;53.591926071217316
2202;2022;17;30;0.7333333333333333;3.772727272727273;22;1.13843302484868;2022-04-25;73.33333333333333;15.824519184082888;57.50881414925044;89.15785251741622
2202;2022;18;20;0.05;1.0;1;;2022-05-02;5.0;9.551858457912784;0.0;14.551858457912784
2202;2022;19;50;0.18;1.4444444444444444;9;0.47463566274109553;2022-05-09;18.0;10.649132922449603;7.350867077550397;28.649132922449603
2202;2022;20;39;0.3333333333333333;2.6153846153846154;13;0.7204392699022985;2022-05-16;33.33333333333333;14.795086579489386;18.538246753843943;48.128419912822714
2202;2022;21;24;1.0;52.666666666666664;24;16.646905908561582;2022-05-23;100.0;0.0;100.0;100.0
2202;2022;22;51;1.0;78.25490196078431;51;11.350207343569643;2022-05-30;100.0;0.0;100.0;100.0
2202;2022;23;81;0.9876543209876543;88.65;80;9.547536552841686;2022-06-06;98.76543209876543;2.40476995111089;96.36066214765454;100.0
2202;2022;24;66;1.0;65.3030303030303;66;8.8503776587767;2022-06-13;100.0;0.0;100.0;100.0
2202;2022;25;100;1.0;92.5;100;8.131286269960025;2022-06-20;100.0;0.0;100.0;100.0
2202;2022;26;94;0.9893617021276596;73.48387096774194;93;12.27860104417129;2022-06-27;98.93617021276596;2.0739857363106675;96.8621844764553;100.0
2202;2022;27;101;0.9702970297029703;45.295918367346935;98;6.964474506711843;2022-07-04;97.02970297029702;3.3109122897020082;93.71879068059502;100.0
2202;2022;28;34;0.9411764705882353;29.625;32;10.638883907931866;2022-07-11;94.11764705882352;7.9091112206898195;86.2085358381337;100.0
2202;2022;29;36;0.19444444444444445;4.857142857142857;7;3.126318388562922;2022-07-18;19.444444444444446;12.928565473888431;6.515878970556015;32.373009918332876
2202;2022;30;100;0.41;41.4390243902439;41;13.268859426561725;2022-07-25;41.0;9.639932779848623;31.36006722015138;50.63993277984862
2202;2022;31;112;0.9910714285714286;49.171171171171174;111;9.73337669546404;2022-08-01;99.10714285714286;1.7421699830957913;97.36497287404707;100.0
2202;2022;32;111;1.0;21.153153153153152;111;2.1980769719933013;2022-08-08;100.0;0.0;100.0;100.0
2202;2022;33;112;1.0;35.44642857142857;112;5.712972100861793;2022-08-15;100.0;0.0;100.0;100.0
2202;2022;34;112;1.0;32.044642857142854;112;5.336294428906822;2022-08-22;100.0;0.0;100.0;100.0
2202;2022;35;112;1.0;23.660714285714285;112;3.2187230625130137;2022-08-29;100.0;0.0;100.0;100.0
2202;2022;36;107;0.6448598130841121;20.405797101449274;69;3.4996377390146356;2022-09-05;64.48598130841121;9.067691757206537;55.41828955120467;73.55367306561774
2202;2022;37;32;0.40625;2.6923076923076925;13;0.870466559701282;2022-09-12;40.625;17.01686605896485;23.60813394103515;57.64186605896485
2202;2023;18;53;0.7924528301886793;4.380952380952381;42;1.085218747072354;2023-05-01;79.24528301886792;10.918506946340102;68.32677607252782;90.16378996520803
2202;2023;19;84;0.4523809523809524;2.1315789473684212;38;0.4626590162059246;2023-05-08;45.23809523809524;10.644073294387647;34.594021943707595;55.882168532482886
2202;2023;20;83;0.5060240963855421;2.238095238095238;42;0.46186143935155655;2023-05-15;50.602409638554214;10.756116720688572;39.84629291786564;61.35852635924279
2202;2023;21;84;0.5833333333333334;2.6530612244897958;49;0.6352952069707437;2023-05-22;58.333333333333336;10.543121331342412;47.79021200199092;68.87645466467575
2202;2023;22;84;0.6071428571428571;3.8823529411764706;51;1.160067388568768;2023-05-29;60.71428571428571;10.444296689262199;50.269989025023506;71.15858240354791
2202;2023;23;83;0.7469879518072289;4.451612903225806;62;0.859544716780144;2023-06-05;74.69879518072288;9.352859813305788;65.3459353674171;84.05165499402867
2202;2023;24;84;0.75;3.5396825396825395;63;0.7906772601191047;2023-06-12;75.0;9.260129588726066;65.73987041127393;84.26012958872607
2202;2023;25;84;0.7619047619047619;4.78125;64;0.9223724881762488;2023-06-19;76.19047619047619;9.108400680852977;67.08207550962321;85.29887687132917
2202;2023;26;83;0.6385542168674698;3.150943396226415;53;0.605233431076847;2023-06-26;63.85542168674698;10.335642877757236;53.51977880898974;74.19106456450422
2202;2023;27;83;0.963855421686747;28.65;80;3.719018320178429;2023-07-03;96.3855421686747;4.01554552221566;92.36999664645904;100.0
2202;2023;28;84;0.7857142857142857;28.90909090909091;66;5.494348097946001;2023-07-10;78.57142857142857;8.774964387392123;69.79646418403645;87.34639295882069
2202;2023;29;84;0.30952380952380953;1.6923076923076923;26;0.3885051308366345;2023-07-17;30.952380952380953;9.886391694685212;21.06598925769574;40.838772647066165
2202;2023;30;84;0.40476190476190477;2.588235294117647;34;0.763456761235767;2023-07-24;40.476190476190474;10.496913126495103;29.979277349695373;50.973103602685576
2202;2023;31;67;0.16417910447761194;1.1818181818181819;11;0.23905599468543204;2023-07-31;16.417910447761194;8.870216568921261;7.547693878839933;25.288127016682456
2202;2023;32;84;0.011904761904761904;1.0;1;;2023-08-07;1.1904761904761905;2.3194028605720116;0.0;3.509879051048202
2202;2023;33;84;0.011904761904761904;1.0;1;;2023-08-14;1.1904761904761905;2.3194028605720116;0.0;3.509879051048202
2202;2023;34;66;0.0;;0;;2023-08-21;0.0;0.0;0.0;0.0
2202;2023;35;81;0.024691358024691357;1.0;2;0.0;2023-08-28;2.4691358024691357;3.3795360735739375;0.0;5.848671876043073
2202;2023;36;59;0.05084745762711865;1.3333333333333333;3;0.6533333333333333;2023-09-04;5.084745762711865;5.605736694219165;0.0;10.69048245693103
2202;2024;16;24;0.08333333333333333;3.5;2;2.939999999999999;2024-04-15;8.333333333333332;11.057718939643388;0.0;19.391052272976722
2202;2024;17;83;0.10843373493975904;2.0;9;0.8001666493091714;2024-04-22;10.843373493975903;6.689228745433723;4.154144748542181;17.532602239409627
2202;2024;18;84;0.08333333333333333;1.8571428571428572;7;1.0844353369380766;2024-04-29;8.333333333333332;5.910599393055258;2.422733940278074;14.24393272638859
2202;2024;19;84;0.17857142857142858;2.066666666666667;15;0.7994042226002507;2024-05-06;17.857142857142858;8.190441583537076;9.666701273605781;26.047584440679934
2202;2024;20;84;0.10714285714285714;1.6666666666666667;9;0.7304488726499311;2024-05-13;10.714285714285714;6.6143782776614755;4.099907436624238;17.328663991947188
2202;2024;21;84;0.07142857142857142;1.1666666666666667;6;0.32666666666666666;2024-05-20;7.142857142857142;5.507570547286102;1.6352865955710403;12.650427690143244
2202;2024;22;84;0.023809523809523808;1.5;2;0.9799999999999999;2024-05-27;2.380952380952381;3.2603112780269354;0.0;5.641263658979316
2202;2024;23;84;0.17857142857142858;1.6;15;0.46065460669211444;2024-06-03;17.857142857142858;8.190441583537076;9.666701273605781;26.047584440679934
2202;2024;24;84;0.07142857142857142;2.0;6;1.6003332986183432;2024-06-10;7.142857142857142;5.507570547286102;1.6352865955710403;12.650427690143244
