"source";"version";"reponse";"n";"beta";"SE";"ratio";"IC95_inf";"IC95_sup";"p_value";"convergence";"hessienne"
"IC";"complet";"presence";823;-0,782602884071491;NA;0,457214385105322;NA;NA;NA;TRUE;TRUE
"IC";"complet";"intensite";556;-0,0284825277862533;0,0515944581181385;0,971919275579112;0,8784400054685;1,07534615040492;0,580916657524926;TRUE;TRUE
"IC";"sans_2202_2024";"presence";642;-0,746429203583424;NA;0,474056292597935;NA;NA;NA;TRUE;TRUE
"IC";"sans_2202_2024";"intensite";554;-0,0300314447097564;0,0516143183483636;0,97041501865014;0,877046287472572;1,07372361285002;0,560672243062724;TRUE;TRUE
"MR";"complet";"presence";754;-0,80191605151324;0,728803639681107;0,448468850949292;0,107488524571102;1,8711235555079;0,271193419841311;TRUE;TRUE
"MR";"complet";"intensite";522;0,00117322106804987;0,0524832327898158;1,00117390956111;0,903305997594393;1,10964523633769;0,982165408456524;TRUE;TRUE
"MR";"sans_2202_2024";"presence";609;-0,798053722446118;0,726939318010422;0,450204334575004;0,108299495239639;1,87151327364578;0,272279972007424;FALSE;TRUE
"MR";"sans_2202_2024";"intensite";522;0,00117322106804987;0,0524832327898158;1,00117390956111;0,903305997594393;1,10964523633769;0,982165408456524;TRUE;TRUE
