Variable,Nb_points,Biais_moyen,Biais_median,MAE,RMSE,Pearson,Spearman
Température (°C),4224,-0.337756470959596,-0.283333333333335,2.0600102588383837,2.6043683381506897,0.8697581827978793,0.8533910448144367
Pression (hPa),4224,-7.490518465909091,-7.516666666666538,7.490518465909091,7.524885678495842,0.9838112587778164,0.9826068765178771
Humidité (%),4224,2.500349245857088,3.0096054905978633,8.803866442206548,11.382070454211133,0.8018993567897787,0.7861111001544989
Vent moyen (km/h),4224,-11.387371527777779,-11.162666666666667,11.403259785353535,12.982153497832627,0.6572983902275642,0.6459206971868523
Rafales (km/h),4224,-17.925041666666665,-16.619999999999997,17.930335227272728,19.992593646261742,0.6436869150112875,0.6997354424216731
