datetime,temperature_MR,pression_MR,humidite_MR,vent_moyen_MR,vent_rafales_MR,vent_direction_MR,temperature_IC,pression_IC,humidite_IC,vent_moyen_IC,vent_rafales_IC,vent_direction_IC
2023-05-02 11:30:00,23.45,1016.4,56.24008665482245,0.198,0.216,49.0,19.133333333333333,1022.8000000000001,59.666666666666664,14.266666666666666,29.1,73.33686150518623
2023-05-02 12:00:00,24.25,1016.4,52.808333652666704,0.126,0.5760000000000001,217.0,19.7,1022.6333333333333,58.666666666666664,15.033333333333333,32.1,79.66500913598081
2023-05-02 12:30:00,24.2,1016.1500000000001,51.12708367424931,0.108,0.216,128.5,20.366666666666664,1022.6999999999999,56.0,15.1,32.1,76.66449361619107
2023-05-02 13:00:00,24.05,1015.9,50.50272705376739,0.108,0.252,111.0,21.0,1022.6,54.666666666666664,13.6,32.1,88.81029837128398
2023-05-02 13:30:00,23.9,1015.7,50.26880490127901,0.108,0.252,108.5,21.333333333333332,1022.1999999999999,53.0,14.966666666666667,33.2,72.70645757364879
2023-05-02 14:00:00,24.1,1015.5,50.73496501944079,0.144,0.8280000000000001,144.0,21.566666666666666,1021.9666666666667,51.0,16.099999999999998,33.2,71.99388483819013
2023-05-02 14:30:00,,,,,,,21.766666666666666,1021.7333333333332,51.0,13.5,33.2,90.99786067407611
2023-05-02 15:00:00,,,,,,,21.900000000000002,1021.4333333333334,50.0,15.833333333333334,32.6,77.00081305608725
2023-05-02 15:30:00,,,,,,,21.8,1021.1666666666666,47.666666666666664,18.400000000000002,32.9,71.3331262999033
2023-05-02 16:00:00,,,,,,,21.96666666666667,1020.9333333333334,49.0,19.099999999999998,32.9,75.33431218602841
2023-05-02 16:30:00,,,,,,,21.46666666666667,1020.9333333333334,48.0,17.833333333333332,32.9,86.66415962311856
2023-05-02 17:00:00,,,,,,,21.400000000000002,1020.8666666666667,48.0,17.866666666666667,31.9,82.66024690574218
2023-05-02 17:30:00,,,,,,,20.8,1020.5666666666666,49.333333333333336,16.633333333333333,33.4,83.99847330928027
2023-05-02 18:00:00,,,,,,,19.933333333333334,1020.3666666666667,51.666666666666664,17.066666666666666,33.4,85.0
2023-05-02 18:30:00,,,,,,,18.8,1020.3666666666667,55.666666666666664,12.833333333333334,33.4,83.33166776031588
2023-05-02 19:00:00,,,,,,,17.066666666666666,1020.3666666666667,61.333333333333336,10.299999999999999,27.4,76.9993901614561
2023-05-02 19:30:00,,,,,,,16.166666666666668,1020.4333333333334,64.33333333333333,9.799999999999999,21.2,76.66500913598082
2023-05-02 20:00:00,,,,,,,15.366666666666667,1020.7333333333332,67.0,11.533333333333333,18.0,78.66670428043918
2023-05-02 20:30:00,,,,,,,15.0,1020.8666666666667,67.66666666666667,11.266666666666666,16.1,77.33309255017161
2023-05-02 21:00:00,,,,,,,14.666666666666666,1020.9333333333334,68.33333333333333,11.666666666666666,18.3,81.33526194922301
2023-05-02 21:30:00,,,,,,,13.666666666666666,1020.8333333333334,71.0,11.066666666666668,18.3,75.0
2023-05-02 22:00:00,,,,,,,13.1,1020.7333333333332,73.0,13.133333333333333,18.3,79.66772105683654
2023-05-02 22:30:00,,,,,,,13.200000000000001,1020.6333333333333,73.0,13.933333333333332,20.3,80.9993901614561
2023-05-02 23:00:00,,,,,,,13.799999999999999,1020.5666666666666,71.33333333333333,16.566666666666666,26.5,87.33332957252897
2023-05-02 23:30:00,,,,,,,13.266666666666666,1020.4333333333334,70.66666666666667,14.1,26.5,86.66670428043918
2023-05-03 00:00:00,,,,,,,12.833333333333334,1020.1999999999999,72.0,15.1,26.5,87.66667042747102
2023-05-03 00:30:00,,,,,,,12.566666666666668,1019.8666666666667,72.0,16.0,25.6,88.3334650015942
2023-05-03 01:00:00,,,,,,,12.299999999999999,1019.4666666666667,72.0,16.566666666666666,29.4,86.0
2023-05-03 01:30:00,,,,,,,11.966666666666667,1019.2666666666668,72.66666666666667,14.966666666666667,29.4,87.66670428043918
2023-05-03 02:00:00,,,,,,,11.666666666666666,1019.1333333333333,73.33333333333333,15.133333333333333,28.9,84.33336342205959
2023-05-03 02:30:00,,,,,,,11.299999999999999,1019.1333333333333,74.66666666666667,15.366666666666667,26.4,83.66670428043916
2023-05-03 03:00:00,,,,,,,11.0,1018.8666666666667,76.66666666666667,17.333333333333332,26.2,81.66663657794041
2023-05-03 03:30:00,,,,,,,10.799999999999999,1018.5333333333333,78.33333333333333,18.03333333333333,31.0,81.6669074498284
2023-05-03 04:00:00,,,,,,,10.566666666666666,1018.2999999999998,79.66666666666667,18.566666666666666,31.0,81.33329571956082
2023-05-03 04:30:00,,,,,,,10.4,1018.2666666666668,80.66666666666667,16.833333333333332,31.0,86.66667042747102
2023-05-03 05:00:00,,,,,,,10.233333333333334,1018.5666666666666,81.33333333333333,13.166666666666666,29.2,86.00030477988622
2023-05-03 05:30:00,,,,,,,10.233333333333333,1018.6666666666666,82.33333333333333,10.866666666666667,29.2,77.00030477988622
2023-05-03 06:00:00,,,,,,,11.0,1018.5333333333333,82.33333333333333,16.866666666666667,30.7,78.66663657794041
2023-05-03 06:30:00,,,,,,,12.066666666666668,1018.3333333333334,80.0,18.733333333333334,34.6,83.33332957252898
2023-05-03 07:00:00,,,,,,,13.200000000000001,1018.0333333333333,77.0,17.633333333333333,35.0,87.66653499840578
2023-05-03 07:30:00,,,,,,,14.566666666666668,1017.7333333333332,73.33333333333333,14.066666666666668,35.0,90.33329571956082
2023-05-03 08:00:00,,,,,,,15.933333333333335,1017.2666666666668,69.0,15.666666666666666,31.5,99.33329571956082
2023-05-03 08:30:00,,,,,,,17.400000000000002,1016.9666666666667,65.0,17.8,34.0,99.66772105683654
2023-05-03 09:00:00,,,,,,,18.8,1016.9,61.0,17.066666666666666,43.6,104.66690744982839
2023-05-03 09:30:00,,,,,,,19.933333333333334,1016.5333333333333,55.333333333333336,20.233333333333334,43.6,102.67511341242212
2023-05-03 10:00:00,,,,,,,21.233333333333334,1016.6999999999999,52.666666666666664,17.133333333333333,43.6,112.63287107248249
2023-05-03 10:30:00,,,,,,,21.900000000000002,1016.1666666666666,48.0,19.7,37.5,111.02799072367043
2023-05-03 11:00:00,,,,,,,22.366666666666664,1015.8333333333334,46.333333333333336,20.099999999999998,34.2,99.00563223585546
2023-05-03 11:30:00,,,,,,,22.96666666666667,1015.5333333333333,46.0,19.900000000000002,40.9,98.65326132565342
2023-05-03 12:00:00,,,,,,,23.53333333333333,1015.0333333333333,47.333333333333336,19.599999999999998,44.5,99.65270805159885
2023-05-03 12:30:00,,,,,,,23.96666666666667,1014.6,47.0,18.666666666666668,44.5,101.32291521334567
2023-05-03 13:00:00,,,,,,,24.166666666666668,1014.3666666666667,45.666666666666664,18.733333333333334,42.2,106.67099042297872
2023-05-03 13:30:00,,,,,,,25.2,1014.0333333333333,44.333333333333336,18.266666666666666,42.2,98.32192997875896
2023-05-03 14:00:00,,,,,,,25.633333333333336,1013.6333333333333,42.333333333333336,18.066666666666666,42.2,99.66772105683654
2023-05-03 14:30:00,,,,,,,25.933333333333334,1013.3333333333334,41.666666666666664,16.866666666666667,37.0,104.32956305530233
2023-05-03 15:00:00,,,,,,,26.099999999999998,1012.9333333333334,40.666666666666664,17.866666666666664,37.0,105.6619448107073
2023-05-03 15:30:00,,,,,,,26.166666666666668,1012.7000000000002,41.333333333333336,18.066666666666666,33.1,101.66890844214983
2023-05-03 16:00:00,24.4,1006.3,41.032755773669166,4.122,10.836,55.0,25.866666666666664,1012.5,41.666666666666664,17.566666666666666,31.8,95.6700978815524
2023-05-03 16:30:00,25.35,1006.0,38.45916881319609,4.140000000000001,15.515999999999998,58.5,25.166666666666668,1012.4333333333334,43.333333333333336,16.266666666666666,31.8,91.66544858796595
2023-05-03 17:00:00,25.450000000000003,1005.6500000000001,38.67668572113981,3.78,13.176,73.0,24.46666666666667,1012.1999999999999,47.0,12.766666666666666,31.8,91.99643554570353
2023-05-03 17:30:00,25.9,1005.55,37.82596221647674,3.528,14.04,75.5,23.766666666666666,1012.0666666666666,49.0,11.1,29.8,88.0
2023-05-03 18:00:00,26.049999999999997,1005.3499999999999,38.221031883375396,3.402,11.16,51.49999999999999,23.133333333333336,1011.8666666666667,51.333333333333336,12.833333333333334,25.8,87.00010156234282
2023-05-03 18:30:00,25.55,1005.25,38.09874111020705,3.24,11.952,85.0,22.433333333333334,1011.8666666666667,52.333333333333336,14.833333333333334,25.8,89.33363440402731
2023-05-03 19:00:00,24.450000000000003,1005.25,39.9234810307061,2.97,10.944,60.5,21.46666666666667,1011.9,54.666666666666664,14.433333333333332,28.3,90.66663657794041
2023-05-03 19:30:00,23.15,1005.2,44.78915625677699,2.5020000000000002,11.808,75.99999999999999,20.633333333333333,1011.8333333333334,56.333333333333336,16.400000000000002,28.3,87.99989843765718
2023-05-03 20:00:00,22.049999999999997,1005.0,47.83046568422469,3.114,8.964,86.5,20.033333333333335,1011.7999999999998,57.0,15.5,28.4,88.00010156234282
